name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
Spacious & Charming in JP,Jamaica Plain,42.30189019343637,-71.12908357888134,Entire home/apt,5,1.5,3.0,3.0,185.0,1.0,Boston,0
"Fantastic Design, Spacious Boston",Jamaica Plain,42.319474233279415,-71.10981262493168,Entire home/apt,4,1.0,1.0,1.0,175.0,0.94,Boston,0
"Comfortable, convenient & affordable JP Apartment",Jamaica Plain,42.311875232278126,-71.10988285778794,Entire home/apt,5,1.0,2.0,3.0,175.0,0.94,Boston,1
Sports Room/Near Subway/Free Passes,Jamaica Plain,42.295528067996926,-71.11929019439627,Private room,2,1.0,1.0,2.0,75.0,0.97,Boston,0
Need to be cozy at the last minute,Jamaica Plain,42.30963228969752,-71.11621848265172,Private room,2,1.0,1.0,1.0,60.0,0.87,Boston,1
2 bdrms in JP Victorian,Jamaica Plain,42.31321247727448,-71.10808727743614,Entire home/apt,3,2.0,2.0,2.0,100.0,0.8,Boston,0
bright 3floor bedroom in a old brick city house,Jamaica Plain,42.32139006767074,-71.10885209574057,Private room,1,1.0,1.0,1.0,75.0,1.0,Boston,0
Studio & Bath On 1st Floor in JP Boston Near Train,Jamaica Plain,42.31653898569717,-71.10431839665927,Entire home/apt,2,1.0,0.0,1.0,94.0,0.95,Boston,0
Private Room/Bath 5mins from Green St MBTA Stop!,Jamaica Plain,42.311233697106125,-71.10343442689604,Private room,2,1.0,1.0,1.0,85.0,0.98,Boston,0
Friendly Resting Spot/Great Transit,Allston-Brighton,42.30512600898364,-71.11423327902818,Private room,2,1.0,1.0,1.0,83.0,0.98,Boston,1
Private rm 15' bus ride to downtown,Jamaica Plain,42.31039502223525,-71.11838026420133,Private room,2,1.0,1.0,1.0,75.0,0.94,Boston,0
Beautiful 3 bd-2 ba  with parking.,Jamaica Plain,42.30829329002923,-71.12399111717572,Entire home/apt,6,2.0,3.0,3.0,168.0,0.88,Boston,0
Boston Room/Free Transit/ By Subway,Jamaica Plain,42.2944421487644,-71.1199453778794,Private room,2,1.0,1.0,1.0,60.0,0.96,Boston,0
